title,importance_significance,location,address,city,state,zip_code,geocode_location,latitude,longitude,geocode_status,subject,date_built_architect,date,date_first,date_first_range_year,date_altered,date_altered_range,date_destruction,is_date_approximate,architects,original_photo,photo_exists_2023Jun06,filename,rights,format,objectid,headline,exhibits
Free African Society,,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,"412 Lombard Street, Philadelphia, PA, USA",39.942580,-75.149553,doubt,,,,,,,,,,,https://hsp.org/sites/default/files/legacy_files/migrated/richardallenabsolomjones_half.jpg,TRUE,https://hsp.org/sites/default/files/legacy_files/migrated/richardallenabsolomjones_half.jpg,,image/jpeg,dream_011,,
Grendel's Lair,,Center City,500 South St.,Philadelphia,PA,19147,"500 South Street, Philadelphia, PA, USA",39.941747,-75.150875,success,,,,,,,,,,,https://www.preservationalliance.com/images/aia/500SouthSt.jpg,FALSE,,,none,dream_012,,
Historic St. George's Methodist Church,,Center City,235 N. 4th St.,Philadelphia,PA,19106,"North 4th Street, Philadelphia, PA, USA",39.956439,-75.145954,success,church,"1767, 1812",1767,1767,,1812,,,FALSE,,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa0800/pa0801/photos/139825pv.jpg,TRUE,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa0800/pa0801/photos/139825pv.jpg,,image/jpeg,dream_013,,
"James Forten, Sr. House / Charlotte Forten House",,Center City,336 Lombard St.,Philadelphia,PA,19147,"334-38 Lombard St, Philadelphia, PA, USA",39.942403,-75.148638,success,dwelling,,,,,,,,,,https://www.preservationalliance.com/images/aia/336LombardStb.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_014,,
Liberation of Jane Johnson,,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,,https://npgallery.nps.gov/GetAsset/2d7bad29-73e1-4518-9753-e9ffcd3da775/proxyhires?,TRUE,https://npgallery.nps.gov/GetAsset/2d7bad29-73e1-4518-9753-e9ffcd3da775/proxyhires?,,image/jpeg,dream_015,,
Lombard Street Riot,,Center City,6th & Lombard,Philadelphia,PA,19147,"412 Lombard Street, Philadelphia, PA, USA",39.942580,-75.149553,doubt,,n/a,,,,,,,,,https://philadelphiaencyclopedia.org/wp-content/uploads/2013/05/RiotIllustration.jpg,TRUE,https://philadelphiaencyclopedia.org/wp-content/uploads/2013/05/RiotIllustration.jpg,,image/jpeg,dream_016,,
Mayor Richardson Dilworth House,,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,"South 6th Street, Philadelphia, PA, USA",39.949982,-75.150576,doubt,dwelling,,,,,,,,,,https://www.ocfrealty.com/wp-content/uploads/2019/01/IMG_8030.jpg,FALSE,,,none,dream_017,,
Octavius V. Catto House Site,,Center City,814 South St.,Philadelphia,PA,19147,"814 South St, Philadelphia, PA, USA",39.942303,-75.156023,success,dwelling,demolished ca. 1990,1990,,,,,1990,TRUE,,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2006_8CattoM-000001,TRUE,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2006_8CattoM-000001,,image/jpeg,dream_018,,
Octavius V. Catto School Building #2,,Center City,2028-2038 Lombard St.,Philadelphia,PA,19146,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt,school,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Octavius_V_Catto_Secondary_School_Colored_Lombard_Street_above_Twentieth_Philadelphia_PA_%281897%29.jpg,TRUE,https://upload.wikimedia.org/wikipedia/commons/1/1c/Octavius_V_Catto_Secondary_School_Colored_Lombard_Street_above_Twentieth_Philadelphia_PA_%281897%29.jpg,,image/jpeg,dream_019,women,women
ODUNDE Festival,"Founded in 1975, Odunde claims to be the largest African American street festival in the United States.",Center City,23rd and South Sts.,Philadelphia,PA,19146,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,,,,,,none,dream_020,,
Pennsylvania Abolition Society,,Center City,"Front St., below Chestnut St.",Philadelphia,PA,19106,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,,https://www.blackpast.org/wp-content/uploads/The-Pennsylvania-Abolition-Societry-Executive-Committee-Sophia-Smith-Collection-Smith-College.jpg,TRUE,https://www.blackpast.org/wp-content/uploads/The-Pennsylvania-Abolition-Societry-Executive-Committee-Sophia-Smith-Collection-Smith-College.jpg,,image/jpeg,dream_021,,
Pennsylvania Hall,,Center City,6th and Haines Sts.,Philadelphia,PA,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,hall,1838; burned 1838,1838,1838,,,,1838,FALSE,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Pennsylvania_Hall_%28Philadelphia%29.jpg,TRUE,https://upload.wikimedia.org/wikipedia/commons/c/c8/Pennsylvania_Hall_%28Philadelphia%29.jpg,,image/jpeg,dream_022,,
Robert Bogle Catering Establishment,,Center City,112 S. 8th St.,Philadelphia,PA,19107,"112 South 8th Street, Philadelphia, PA, USA",39.949090,-75.154250,success,caterer,,,,,,,,,,https://libwww.freelibrary.org/images/blog/FLPBlog/resized/bogle-portrait.png,TRUE,https://libwww.freelibrary.org/images/blog/FLPBlog/resized/bogle-portrait.png,,image/jpeg,dream_023,,
Robert Mara Adger House,,Center City,823 South St.,Philadelphia,PA,19147,"South Street, Philadelphia, PA, USA",39.943754,-75.166382,doubt,dwelling,,,,,,,,,,https://i.pinimg.com/originals/d0/e4/cb/d0e4cb08475f423afd6860cb029abb25.jpg,TRUE,https://i.pinimg.com/originals/d0/e4/cb/d0e4cb08475f423afd6860cb029abb25.jpg,,image/jpeg,dream_024,,
Thaddeus Kosciuszko House / Kosciuszko National Memorial,,Center City,301-303 Pine St.,Philadelphia,PA,19106,"Pine Street, Philadelphia, PA, USA",39.945352,-75.163455,success,dwelling,1750-1780,1750,1750,30,,,,FALSE,,https://www.preservationalliance.com/images/aia/301-3PineSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_025,,
Wesley A.M.E. Zion Church,,Center City,1500-1504 Lombard St.,Philadelphia,PA,19146,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt,church,"1925, 1926",1925,1925,,1926,,,FALSE,,https://www.preservationalliance.com/images/aia/1500-04LombardSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_026,,
Baker Bowl,,North,N. Broad and W. Lehigh Ave.,Philadelphia,PA,19132,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,stadium,1887; demolished 1950,1887,1887,,,,1950,FALSE,,https://www.baseball-almanac.com/images/Baker_Bowl_postcard.jpg,TRUE,https://www.baseball-almanac.com/images/Baker_Bowl_postcard.jpg,,image/jpeg,dream_027,,
Black Panthers Headquarters,,North,1928 Cecil B. Moore Ave.,Philadelphia,PA,19121,"1928 Cecil B Moore Ave, Philadelphia, PA, USA",39.979651,-75.166851,success,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/57cf18ae6b8f5ba693497e1a/1477071113564-EVO9T7SNVSHGKBO1DDQD/image-asset.jpeg?format=2500w,TRUE,https://images.squarespace-cdn.com/content/v1/57cf18ae6b8f5ba693497e1a/1477071113564-EVO9T7SNVSHGKBO1DDQD/image-asset.jpeg?format=2500w,,image/jpeg,dream_028,,
Cyrus Bustill House ,,North,near 3rd and Green Sts.,Philadelphia,PA,19123,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,dwelling,,,,,,,,,,https://www.hmdb.org/Photos/19/Photo19214.jpg,TRUE,https://www.hmdb.org/Photos/19/Photo19214.jpg,,image/jpeg,dream_029,,
David Bustill Bowser House,,North,841 N. 4th St.,Philadelphia,PA,19123,"North 4th Street, Philadelphia, PA, USA",39.992082,-75.138301,doubt,dwelling,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/David_Bustill_Bowser.png/220px-David_Bustill_Bowser.png,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/David_Bustill_Bowser.png/220px-David_Bustill_Bowser.png,,image/jpeg,dream_030,,
Ebenezer Don Carlos Bassett House,,North,2121 N. 29th St.,Philadelphia,PA,19121,"2121 N 29th St, Philadelphia, PA, USA",39.988316,-75.180225,success,dwelling,,,,,,,,,,,,,,none,dream_031,,
Fair Hill Burial Ground,"Burial site of Harriet Forten Purvis, African-American abolitionist, suffragist, and co-founder of the Philadelphia Female Anti-Slavery Society. Other abolitionists, mostly Quaker, are also buried here. [From Wikipedia]",North,2901 Germantown Ave.,Philadelphia,PA,19133,"2901 Germantown Ave, Philadelphia, PA, USA",39.996780,-75.146065,success,cemetery,1842,1842,1842,,,,,FALSE,,,,,,none,dream_032,women,women
Jessie Redmon Fauset House,,North,1853 N. 17th St.,Philadelphia,PA,19121,"1853 N 17th St, Philadelphia, PA, USA",39.982106,-75.161803,success,dwelling,ca. 1885,1885,1885,,,,,TRUE,,https://media.newyorker.com/photos/59097e3bc14b3c606c10999a/master/pass/Jerkins-TheForgottenWorkofJessieRedmonFauset.jpg,TRUE,https://media.newyorker.com/photos/59097e3bc14b3c606c10999a/master/pass/Jerkins-TheForgottenWorkofJessieRedmonFauset.jpg,,image/jpeg,dream_033,,
John W. Coltrane House,,North,1511 N. 33rd St.,Philadelphia,PA,19121,"1511 N 33rd St, Philadelphia, PA, USA",39.980283,-75.188424,success,dwelling,1895,1895,1895,,,,,FALSE,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/ColtraneH.jpg/500px-ColtraneH.jpg,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/ColtraneH.jpg/500px-ColtraneH.jpg,,image/jpeg,dream_034,,
Negro People's Theater of Philadelphia,,North,311 N. 16th St.,Philadelphia,PA,19102,"North 16th Street, Philadelphia, PA, USA",40.042469,-75.146943,doubt,,,,,,,,,,,,,,,none,dream_035,,
Pearl Bailey House,,North,1946 N. 23rd St.,Philadelphia,PA,19121,"1946 N 23rd St, Philadelphia, PA, USA",39.984933,-75.171800,success,dwelling,"ca. 1884-1886, Willis G. Hale",1884,1884,2,,,,TRUE,Willis G. Hale,https://phillyjazzblog.files.wordpress.com/2015/03/pearl-bailey-house-1.jpg?w=474,TRUE,https://phillyjazzblog.files.wordpress.com/2015/03/pearl-bailey-house-1.jpg?w=474,,image/jpeg,dream_036,,
Zoar Methodist Church Site,,North,409 Brown St.,Philadelphia,PA,19123,"409 Brown St, Philadelphia, PA, USA",39.964018,-75.144913,success,church,,,,,,,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC3-IFz85M-EMTeWkvu4VNtOXDyCjiv3GZnYs3Hz1f62Q1rqjUnQQshUKgWfUGoI3LPvA&usqp=CAU,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC3-IFz85M-EMTeWkvu4VNtOXDyCjiv3GZnYs3Hz1f62Q1rqjUnQQshUKgWfUGoI3LPvA&usqp=CAU,,image/jpeg,dream_037,,
Robert Purvis Estate,,Northeast,Byberry and Thornton Roads,Philadelphia,PA,19154,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,dwelling,ca. 1770,,,,,,,,,https://www.ocfrealty.com/wp-content/uploads/2012/01/IMG_0309-560x420.jpg,TRUE,https://www.ocfrealty.com/wp-content/uploads/2012/01/IMG_0309-560x420.jpg,,image/jpeg,dream_038,,
Cliveden,,Northwest,6401 Germantown Ave.,Philadelphia,PA,19119,"6401 Germantown Ave, Philadelphia, PA, USA",40.047285,-75.181627,success,dwelling; museum,"1763, 1764",,,,,,,,,https://www.preservationalliance.com/images/aia/6401Germantown.jpg,https://www.preservationalliance.com/images/aia/6401Germantown.jpg,#VALUE!,Preservation Alliance for Greater Philadelphia,#VALUE!,dream_039,,
First Protest Against Slavery / Kunder House,,Northwest,5109 Germantown Ave.,Philadelphia,PA,19144,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt,dwelling,,,,,,,,,,https://www.hmdb.org/Photos1/170/Photo170532.jpg,TRUE,https://www.hmdb.org/Photos1/170/Photo170532.jpg,,image/jpeg,dream_040,,
Germantown Industrial School for Colored Women,,Northwest,30 Armat St.,Philadelphia,PA,19144,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,school,,,,,,,,,,,,,,none,dream_041,women,women
Johnson House,,Northwest,6306 Germantown Ave.,Philadelphia,PA,19144,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt,dwelling,1768,1768,1768,,,,,FALSE,,https://www.preservationalliance.com/images/aia/6306Germantown.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_042,,
Sadie T. M. Alexander House,,Northwest,700 Westview St.,Philadelphia,PA,19119,"Westview Street, Philadelphia, PA, USA",40.050941,-75.187245,doubt,dwelling,,,,,,,,,,https://www.preservationalliance.com/images/aia/700Westview.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_043,,
Alain Leroy Locke House,,South,2221 S. 5th St.,Philadelphia,PA,19148,"South 5th Street, Philadelphia, PA, USA",39.947984,-75.149412,doubt,dwelling,,,,,,,,,,https://hiddencityphila.org/wp-content/uploads/2021/06/Alain-Locke-home-1.jpg,TRUE,https://hiddencityphila.org/wp-content/uploads/2021/06/Alain-Locke-home-1.jpg,,image/jpeg,dream_044,,
Christian Street YMCA,,South,1724 Christian St.,Philadelphia,PA,19146,"1724 Christian Street, Philadelphia, PA, USA",39.940539,-75.172180,success,young men's Christian association,ca. 1914; rebuilt 1969,1969,,,1969,,,TRUE,,https://www.preservationalliance.com/images/aia/1724ChristianSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_045,,
Institute for Colored Youth,,South,915 Bainbridge St.,Philadelphia,PA,19147,"915-25 Bainbridge St, Philadelphia, PA, USA",39.942014,-75.157910,success,school,ca. 1865-1866,1865,1865,1,,,,TRUE,,https://www.preservationalliance.com/images/aia/915BainbridgeSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_046,,
Marian Anderson House,,South,762 S. Martin St.,Philadelphia,PA,19146,"South Martin Street, Philadelphia, PA, USA",39.942400,-75.174771,doubt,dwelling; museum,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/M_Anderson_House_Philly.jpg/500px-M_Anderson_House_Philly.jpg,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/M_Anderson_House_Philly.jpg/500px-M_Anderson_House_Philly.jpg,,image/jpeg,dream_047,women,women
Mercy Hospital - Site #1,,South,17th and Fitzwater Sts.,Philadelphia,PA,19146,"1910 Fitzwater Street, Philadelphia, PA, USA",39.942723,-75.174563,doubt,hospital,,,,,,,,,,,,,,none,dream_048,,
Crystal Bird Fauset House,,West,5403 Vine St.,Philadelphia,PA,19139,"Vine Street, Philadelphia, PA, USA",39.955409,-75.139765,doubt,dwelling,,,,,,,,,,https://www.phila.gov/media/20170308121227/Crystal-Bird-Fauset1-550x360.jpg,TRUE,https://www.phila.gov/media/20170308121227/Crystal-Bird-Fauset1-550x360.jpg,,image/jpeg,dream_049,,
Freedom Now Rally (Dr. Martin Luther King Jr.),,West,Lancaster and Haverford Aves.,Philadelphia,PA,19104,"3529 Haverford, Philadelphia, PA, USA",39.963926,-75.194310,doubt,,,,,,,,,,,,,,,none,dream_050,,
MOVE site,,West,6221 Osage Ave.,Philadelphia,PA,19143,"6221 Osage Ave, Philadelphia, PA, USA",39.955692,-75.246870,success,,,,,,,,,,,,,,,none,dream_051,,
Shelter for Colored Orphans,Founded in Philadelphia by Quaker women in 1822 to care for orphans,West,44th and Haverford Ave.,Philadelphia,PA,19104,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,orphanage,,,,,,,,,,,,,,none,dream_052,women,women
Underground Railroad Museum at Belmont Mansion / American Women's Heritage Society,"The American Women's Heritage Society was founded in November 1986 to maintain and restore Belmont Mansion, an eighteenth century house; Estate owner Richard Peters, used the manison as a site in the underground railroad. The Belmont Mansion houses the Underground Railroad Museum",West,2000 Belmont Mansion Dr.,Philadelphia,PA,19131,"Belmont Mansion Drive, Philadelphia, PA, USA",39.985323,-75.213071,doubt,dwelling; museum,"ca. 1742-1751; many additions and alterations, including ca. 1888 and 1905",1742,1742,9,1888;1905,,,TRUE,,https://www.philasun.com/wp-content/uploads/2016/02/diaspora_02-28-16b.jpg,TRUE,https://www.philasun.com/wp-content/uploads/2016/02/diaspora_02-28-16b.jpg,,image/jpeg,dream_053,women,women
Frederick Douglass Memorial Hospital,,Center City,1512 or 1522 Lombard St.,Philadelphia,PA,19146,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,hospital,,,,,,,,,,,,,,none,dream_054,,
Church of the Advocate,,North,1801 W. Diamond St.,Philadelphia,PA,19121,"West Diamond Street, Philadelphia, PA, USA",39.987156,-75.175417,doubt,church,"1891, 1897,  Charles M. Burns",1891,1891,,1897,,,FALSE,Charles M. Burns,https://billypenn.com/wp-content/uploads/2019/10/churchoftheadvocate-02crop-1024x576.jpg,TRUE,https://billypenn.com/wp-content/uploads/2019/10/churchoftheadvocate-02crop-1024x576.jpg,,image/jpeg,dream_055,,
North Penn Baptist Church,,North,2419-2425 N. 27th St.,Philadelphia,PA,19132,"North 27th Street, Philadelphia, PA, USA",39.985261,-75.177145,doubt,church,"ca. 1911, Charles Wells",,,,,,,TRUE,Charles Wells,,,,,none,dream_056,,
Greater Exodus Baptist Church / Our Lady of Blessed Sacrament / Central Presbyterian Church,,North,708-714 N. Broad St.,Philadelphia,PA,19130,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt,church,"ca. 1877, Collins Autenreith",,,,,,,TRUE,Collins Autenreith,https://1.bp.blogspot.com/-B9RqF2W50Sk/XQSjxqw1jrI/AAAAAAAAouQ/wJHHBWrYZTUd6sE0d1nuhOI5OSmRe5BDgCLcBGAs/s640/MediaStream%2B%25281%2529.jpg,TRUE,https://1.bp.blogspot.com/-B9RqF2W50Sk/XQSjxqw1jrI/AAAAAAAAouQ/wJHHBWrYZTUd6sE0d1nuhOI5OSmRe5BDgCLcBGAs/s640/MediaStream%2B%25281%2529.jpg,,image/jpeg,dream_057,,
Uptown Theater,"Originally built for the rich people in athe area, the theatre and neighbourhood was taken over by the Africa-Americans in the years following the Great Depression. Actually became the epicenter of Afro-American community and civil rights activism, especially with regard to music.",North,2240 N. Broad St.,Philadelphia,PA,19132,"2240-48 N Broad St, Philadelphia, PA, USA",39.987403,-75.156520,success,theater,"1927, 1929, E. Magiziner, H. Magiziner",1927,1927,,1929,,,FALSE, E. Magiziner; H. Magiziner,https://cdn10.phillymag.com/wp-content/uploads/sites/3/2021/09/Uptown-theater-lede.jpg,TRUE,https://cdn10.phillymag.com/wp-content/uploads/sites/3/2021/09/Uptown-theater-lede.jpg,,image/jpeg,dream_058,,
Peter A. B. Widener Mausoleum (Laurel Hill Cemetery),"The Mausoleum was designed by Julian Abele, prominant architect and the first Black graduate of the University of Pennsylvania's School of Design. [From: Penn's ""Penn People"" feature]",North,3822 Ridge Ave.,Philadelphia,PA,19132,"Ridge Avenue, Philadelphia, PA, USA",39.960860,-75.156768,doubt,mausoleum,"mausoleum ca. 1915, Horace Trumbauer (Julian Abele)",1915,1915,,,,,TRUE,Horace Trumbauer (Julian Abele),,,,,none,dream_059,,
Wayland Temple Baptist Church / Columbia Avenue Methodist Church,,North,2500 Cecil B. Moore Ave.,Philadelphia,PA,19121,"2500 Cecil B Moore Avenue, Philadelphia, PA, USA",39.980753,-75.175932,success,church,"1888, Oscar Frotscher; alterations, 1916, George Savage",1888,1888,,1916,,,FALSE,Oscar Frotscher; George Savage,,,,,none,dream_060,,
B.M. Oakley Memorial Temple / Trinity Reformed Church,,North,1535 N. 7th St.,Philadelphia,PA,19122,"1535 North 7th Street, Philadelphia, PA, USA",39.974826,-75.147168,success,church,"1869, Samuel Sloan",1869,1869,,,,,FALSE,Samuel Sloan,,,,,none,dream_061,,
Zion Baptist Church / St. Paul Reformed Church / Trinity Reformed Church,,North,3600 N. Broad St.,Philadelphia,PA,19140,"3600 N Broad St, Philadelphia, PA, USA",40.007963,-75.152024,success,church,"1904, Stearns & Castor; alterations, 1914, Stearns & Castor; alterations, 1973, Eshbach, Glass, Kale & Associates",1904,1904,,1914;1973,,,FALSE,"Stearns & Castor; alterations: Stearns & Castor; Eshbach, Glass, Kale & Associates",,,,,none,dream_062,,
Freedom Theatre,Chronicles African-American history in the performing arts; founded by John E. Allen  in 1966 with the support of the Black People's Unity Movement,North,1346 N. Broad St.,Philadelphia,PA,19121,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt,theater,"1853, 1865; Stephen D. Button",1853,1853,,1865,,,FALSE,Stephen D. Button,,,,,none,dream_063,,
St. Paul Baptist Church / First Reformed Church Building,,North,1000 Wallace St.,Philadelphia,PA,19123,"Wallace Street, Philadelphia, PA, USA",39.963493,-75.217236,doubt,church,"before 1888; alterations, 1916, 1920, 1929, Stuckert & Co.",1888,1888,,1916;1920;1929,,,TRUE,Stuckert & Co.,,,,,none,dream_064,,
Berean Presbyterian Church Site / Berean Institute,,North,1906-1926 S. College Ave.,Philadelphia,PA,19121,"South College Avenue, Philadelphia, PA, USA",39.972627,-75.173802,doubt,church,"1884; 1888, T. P. Chandler",1884,1884,,1888,,,FALSE,T. P. Chandler,,,,,none,dream_065,,
Berean Presbyterian Church / Bethlehem Presbyterian Church,,North,2101 N. Broad St.,Philadelphia,PA,19122,"2101 North Broad Street, Philadelphia, PA, USA",39.984870,-75.156197,success,church,"1888, T. P. Chandler; alterations, 1909, 1910, 1915, J. Franklin Stuckert",1888,1888,,1909;1910;1915,,,FALSE,T. P. Chandler; alterations: J. Franklin Stuckert,,,,,none,dream_066,,
Universal Negro Improvement Association (UNIA),,North,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,"1609-11 Cecil B Moore Ave, Philadelphia, PA, USA",39.979375,-75.161489,success,,"ca. 1894, Thomas Lonsdale",1894,1894,,,,,TRUE,Thomas Lonsdale,,,,,none,dream_067,,
Girard College,,North,2101 S. College Ave.,Philadelphia,PA,19121,"South College Avenue, Philadelphia, PA, USA",39.972627,-75.173802,doubt,school,"1833, Thomas Ustick Walter; 1968",1833,1833,,1968,,,FALSE,Thomas Ustick Walter,https://media.phillyvoice.com/media/images/01-083115_GirardCollege_Carroll.2e16d0ba.fill-735x490.jpg,TRUE,https://media.phillyvoice.com/media/images/01-083115_GirardCollege_Carroll.2e16d0ba.fill-735x490.jpg,,image/jpeg,dream_068,,
Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,,North,655 N. 16th St.,Philadelphia,PA,19130,"655-59 N 16th St, Philadelphia, PA, USA",39.966666,-75.163569,success,church,"before 1859; alterations, 1902, Watson & Huckel; alterations, 1906, C. Davis",1859,1859,,1902;1906,,,TRUE,alterations: Watson & Huckel; alterations: C. Davis,,,,,none,dream_069,,
Unity Mission / Charles T. Ellis House,,North,1430 N. Broad St.,Philadelphia,PA,19121,"1430 N Broad St, Philadelphia, PA, USA",39.975493,-75.159120,success,dwelling,"ca. 1891, William Decker",1891,1891,,,,,TRUE,William Decker,,,,,none,dream_070,,
Metropolitan Opera House,,North,848-860 N. Broad St.,Philadelphia,PA,19130,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt,opera house; church,"1908, William McElfatrick",1908,1908,,,,,FALSE,William McElfatrick,,,,,none,dream_071,,
Shibe Park / Connie Mack Stadium,,North,2701 N. 21st St.,Philadelphia,PA,19132,"North 21st Street, Philadelphia, PA, USA",39.983256,-75.168608,doubt,stadium,"1908-1909, William Steele & Sons Co.; numerous alterations; demolished 1976",1908,1908,1,,,1976,FALSE,William Steele & Sons Co.,,,,,none,dream_072,,
